	CL-116	CL-117	CL-118	CL-119	CL-125-12mo-2	CL-127-12mo-2	CL-127-BL-2	CL-128	CL-130	CL-131	CL-134	CL-136	CL-137	CL-139-12mo	CL-139-6mo-2	CL-139-BL-2	CL-141-12mo	CL-141-6mo	CL-141-BL-R2	CL-142-S	CL-144-2	CL-146-12mo	CL-146-6mo	CL-146-BL	CL-147	CL-148-12m-R2	CL-148-6mo-2	CL-148-BL	CL-150	CL-151-12mo	CL-151-BL-R2	CL-152-12mo	CL-152-BL	CL-154-12mo	CL-154-BL	CL-160	CL-161-2	CL-165	CL-166-12mo	CL-166-BL	CL-167	CL-169-12mo	CL-169-6mo-2	CL-169-BL	CL-170	CL-171-12mo	CL-171-6mo	CL-171-BL	CL-172	CL-173-2	CL-175	CL-176-6mo-R2	CL-176-9mo	CL-176-BL-R3	CL-177	HLD-100	HLD-102	HLD-103-2	HLD-104	HLD-111-2	HLD-112	HLD-22-2	HLD-23	HLD-24	HLD-25	HLD-28	HLD-31	HLD-34	HLD-35	HLD-38	HLD-39-2	HLD-43	HLD-44-2	HLD-45	HLD-47	HLD-50-2	HLD-51	HLD-53	HLD-55	HLD-64	HLD-69	HLD-72-2	HLD-74	HLD-77	HLD-80	HLD-84	HLD-85	HLD-86-2	HLD-87	HLD-94	HLD-96-2	HLD-99
1	95	266	162	190	90	649	1219	1126	382	242	264	463	108	166	163	299	91	166	1064	1218	574	68	133	141	84	356	177	206	92	108	177	92	274	158	323	143	136	128	73	39	75	2641	632	400	283	818	1165	685	178	187	194	118	515	240	97	873	513	3003	229	543	631	859	752	999	221	1357	133	522	431	414	414	303	131	74	230	215	374	900	325	155	337	1129	170	342	667	205	166	314	112	136	319	1176
2	95	84	119	21	6	84	34	17	14	82	65	41	65	6	9	33	12	36	35	0	46	15857	4343	828	73	27	1	8	82	47	6	87	47	99	52	9	46	118	50	124	61	24	12	2	88	26	103	77	28	27	5	38	43	25	119	33	5	10	66	52	179	50	55	21	46	79	83	3	67	40	46	8	102	129	22	101	71	10	49	2	78	4	0	58	34	51	60	102	26	72	4	196
3	1182	4355	8118	12601	5858	3108	9345	5850	19155	4861	4527	15442	5392	6802	11500	12370	1747	963	7767	7646	3194	4758	3519	3948	12097	11060	3053	10121	2305	2583	5391	19924	4397	7599	5878	4192	7239	3604	917	2325	2331	10811	1952	1643	24678	4478	7820	6336	2246	1872	3492	1339	3565	1567	3287	14503	2008	1364	8683	9517	2487	9891	1743	3253	6910	2735	1586	7371	3854	3786	13175	2384	4174	1458	1219	5719	5485	12942	1458	5810	5853	6899	12676	4336	1703	14455	5223	3942	28495	1131	5045	2097
4	839	761	2581	707	447	1838	1079	10428	4117	3743	5044	1566	498	1847	2649	2335	804	2485	312	788	3364	1120	3126	1003	1895	5793	6527	5789	843	2253	2416	835	1375	956	1401	1892	1157	951	6897	2385	71	2458	794	930	8644	2955	3109	10565	3496	4415	3485	551	1352	918	3551	3965	2669	1107	5362	1333	799	8384	4148	1697	2981	3682	1919	1321	5119	2243	1513	10993	1336	778	978	2236	2040	9056	698	2689	3995	3507	2229	4375	3725	3959	2667	5255	3074	686	449	5105
5	65	348	140	721	531	135	197	88	61	35	283	93	3738	73	761	250	603	1155	482	488	310	92	150	97	130	245	128	209	156	121	74	152	360	114	88	134	653	75	134	290	24	153	110	63	223	106	148	147	82	152	96	120	114	129	1690	62	201	3676	159	175	400	270	220	115	1392	639	57	184	117	221	106	147	130	2863	65	438	144	178	87	71	420	143	264	158	86	988	335	431	111	1856	61	201
6	0	28	11	28	2	6	127	1	3	2445	114	1	1	6	2	5	1	1	1	41	36	240	44	5	1	0	27	26	5	1	42	43	39	0	3	4	2	2	0	65	0	130	1	2	1986	29	1	3	80	15	227	1	2	35	116	1	3	4	0	4	27	1	25	0	10	57	2	54	1	2	4	10	3	9	2	18	5	39	5	43	3	29	19	4	69	0	2	5	3	1	24	2
7	16	5	116	8	22	38	117	30	27	155	63	43	8	27	19	28	33	92	6	8	7	47	179	136	5	23	6	6	21	171	85	13	7	12	17	83	27	219	5	7	1	3383	253	904	171	3	7	57	159	49	418	12	17	92	49	1184	17	20	5	12	14	48	9	51	34	45	239	16	28	3	8	837	17	9	30	18	38	18	49	9	33	61	1	49	63	32	16	29	288	42	268	51
8	116	4289	807	1953	154	609	882	736	1069	329	681	1726	1096	292	186	320	241	386	1156	144	67	352	500	164	1412	122	57	807	143	907	1580	78	1365	1579	178	416	129	870	55	122	28	1021	222	158	371	757	227	329	410	4702	644	228	705	1247	173	481	379	175	421	793	623	3972	158	4366	2497	126	1048	448	274	157	912	2271	187	243	198	1382	2050	725	134	1271	1337	58	75	529	2744	1940	175	4184	1539	191	140	314
9	27	878	18	7	93	14	398	29	3	280	31	76	5559	20	67	43	8	6	22	13	24	4385	2084	126	21	18	5	1	12	2999	6761	21	41	46	85	279	33	48	5	10	2	39	82	22	18	6	33	14	48	36	14	57	31	153	6	85	29	24	14	46	23	14	76	12606	6143	8	160	9	13	21	102	10	33	26	42	86	7	133	23	12	72	1411	52	12	48	13	30	213	9	35	43	26
10	0	13	20	1	2	5442	1863	31	0	77	1	2	786	0	2	2	1	0	16	4	1	1312	292	28	1	17	4	5	4	777	1752	10	12	10	4	1434	4	3	1	6	3	32	4	4	26	8	6	5	12	1	2	4	4	4	2	5	7	4	56	43	17	0	2	4	831	0	1	7135	7	4	14	12	3	13	2	2	1	58	52	3170	5	0	27	3	1	29	7	0	2	6	2	7
11	82	1909	995	1313	82	639	239	824	99	85	1250	834	899	82	100	96	1170	153	1207	297	78	102	151	80	414	3555	55	1537	105	2323	831	84	224	296	445	117	154	1409	57	103	109	508	322	132	174	1251	1429	699	128	337	63	597	952	95	149	3964	683	4682	2054	1925	344	1918	310	149	616	220	133	223	2167	817	621	521	121	184	2131	464	2494	514	144	1831	2771	162	4345	319	538	1769	475	1523	1063	120	121	555
12	53	51	95	14	35	1104	176	52	62	97	44	46	42	17	28	87	48	42	389	3	25	8098	2384	5446	116	36	6	42	55	24	15	205	32	36	62	93	57	54	17	45	50	205	1772	594	47	10	26	91	1297	60	45	19	21	1239	70	54	39	32	42	32	77	51	17	39	55	66	3652	364	81	6	31	33	72	29	42	57	46	259	92	520	55	44	25	161	10	49	483	56	29	88	32	99
13	4060	7997	9906	18847	15607	19854	6283	9989	9784	2474	19422	21617	28121	4458	8034	2835	24310	3739	33424	11405	1597	10070	6945	3994	50495	20986	6438	18709	22759	12599	5459	5168	5060	29043	19773	3317	3071	27773	16564	7962	5367	5648	4259	3199	3538	27921	18065	10030	1866	20308	1670	13428	19493	30831	5830	19711	10484	7104	14213	31777	17371	32697	7222	2760	18569	1942	16472	5089	12428	26995	31770	19333	10306	30985	19394	14730	22149	23075	64491	37331	32003	2945	19651	17225	16757	19941	22424	9058	11958	24630	13587	5229
14	46	30	157	394	105	47	10	46	27	18	135	234	29	15	66	25	12	76	424	82	42	13	69	21	14	10	8	597	35	113	17	9	11	21	5	11	68	13	16	8	7	80	39	25	17	983	1219	1622	42	278	14	17	232	58	10	862	106	19	247	581	204	587	21	35	17	19	43	29	1002	31	44	447	56	35	823	34	1013	33	45	20	59	81	18	180	27	421	151	42	524	9430	212	86
15	19	0	0	0	140	21	0	13	10	0	23	43	13	0	23	1	0	46	0	0	6	6	31	15	0	0	0	0	0	139	0	0	0	6	0	0	7	0	17	0	0	23	10	0	15	0	5	26	11	45	0	10	0	95	5	24	5	34	0	0	0	27	10	18	12	6	23	9	38	0	1	0	0	16	43	54	0	0	10	0	22	10	0	38	8	24	0	0	16	22445	0	39
