ID	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	95	97	98	99	100	102	103	104	105	108	110	112	113	114	115	118	119	122	123	124	125	126	127	129	130	131	132	134	135	138	139	140	141	142	144	149	150	154	156	161	163	166	168	171	173	178	179	181	182	184	187	190	194	196	197	199	200	204	208	210	213	215	217	226	228	231	233	234	238	239	245	247	259	266	277	289	290	296	319	325	362	378	388	393	407	457	474	492	501	512	561	585	593	635	643	688	693	740	810	853	858	888	912	936	951	976	982	983	984	1038	1042	1077	1091	1095	1127	1128	1161	1170	1188	1213	1243	1253	1300	1334	1359	1367	1370	1431	1477	1493	1494	1514	1558	1604	1629	1786	1787	1802	1854
CL.116	22656	3506	2730	2262	1976	1104	1693	1008	859	825	742	155	546	708	2867	1054	742	628	314	604	338	592	424	322	819	616	3440	211	201	161	274	334	466	357	119	237	233	104	789	80	425	255	324	27	135	122	118	201	216	213	56	92	93	186	92	48	189	106	266	191	95	26	104	222	97	96	58	117	65	105	43	6022	111	25	72	95	88	19	93	45	781	51	44	1166	91	0	197	103	139	2543	153	29	31	48	74	47	46	19	12	6374	23	53	36	21	59	115	24	31	37	40	192	16	66	11	18	19	7	12	0	13	40	27	0	5	1709	25	6	8	380	36	12	10	7	214	85	24	32	15	4	19	12	9	8	8	7	0	8	0	0	3	6	0	11	0	176	0	1	0	1	3	1	90	1	1728	138	0	765	0	125	1	42	95	97	559	16	51	2302	74	0	0	152	445	62	2954	1	51	143	0	0	158	10	1	39	13	39	5	54	6	0	76	210	145	13	113	844	1107	45	593	12	384	4217	146	1	12	211	4009	403	6	235	135	10	1	3041	57	71	429	78	41	758	537	250	408
CL.117	7898	6744	7865	2087	4859	2423	3874	1734	6532	733	4469	1453	2424	2015	1943	2258	1810	4643	726	1608	822	1558	2933	612	3960	3005	582	198	93	249	2501	696	3922	569	3001	58	1481	101	3231	59	1641	955	135	878	110	58	552	823	118	211	574	102	395	465	287	3013	168	1059	556	418	266	1787	37	213	102	394	619	319	348	322	193	337	332	50	78	84	488	0	19	51	57	90	302	170	224	8	1950	306	94	88	121	38	188	15	368	199	30	120	15	103	471	25	93	27	173	199	974	28	62	53	133	5	3	145	19	76	0	50	11	26	1	501	6	180	47	13	5	10	58	55	16	61	186	103	55	11	0	4	6	12	12	8	2	3	1	17	72	13	13	4	1	8	1	15	5	3	5	2	4	6	8	66	2	40	55	9	56	2	551	75	62	363	240	414	27	227	113	64	52	35	420	40	138	151	1	20	168	5	6	4	23	1	5	6	181	11	16	183	0	322	413	726	27	108	1850	87	64	573	1010	404	230	291	1285	9	337	111	146	11	714	211	31	1	56	93	100	696	399	16	829	490	1976	558
CL.118	10913	23070	8511	4472	9389	5033	5012	1490	1651	2532	12333	3979	2191	6737	886	6521	3896	4934	396	1316	10479	2687	812	2016	1682	3136	1142	374	4313	608	966	970	3099	2462	383	579	355	292	2437	998	767	859	1276	18	506	568	791	645	993	763	526	252	210	506	280	504	704	229	355	557	162	74	112	875	219	223	256	125	140	482	97	309	140	465	258	119	304	0	127	1597	50	99	185	123	617	19	889	781	45	99	690	76	145	211	664	73	157	51	715	15	726	4	83	68	204	177	118	84	41	6	95	116	68	1265	7	35	12	19	2	49	1806	32	30	18	76	14	1342	313	64	486	52	44	53	39	37	11	0	12	2	322	11	6	6	6	0	13	20	7	14	10	24	8	2	4	24	14	3	8	45	6	8	893	0	7	210	25	124	0	105	80	83	411	508	870	33	164	43	126	66	4	298	45	65	8	153	138	862	1	15	373	19	22	58	40	63	9	154	31	8	819	3437	1032	116	285	2879	70	80	1034	1059	8727	242	697	4	31	319	76	371	9	1644	419	81	2	7	98	144	1168	81	83	1704	1178	946	974
CL.119	16975	18831	19742	8057	10921	6823	4497	3554	1004	690	5180	466	3257	10252	881	5693	5559	1012	3057	3142	357	2804	2671	1489	3146	4566	4240	203	167	1888	580	1221	941	2447	283	1317	4757	235	3747	2551	4277	1201	533	7	1249	180	1392	1918	717	1537	1196	1140	116	571	1591	47	2088	59	1959	757	190	89	2099	695	17	547	441	3623	721	504	89	2827	170	116	416	21	266	0	178	235	3319	125	1891	997	332	1	1846	704	153	656	769	8	80	662	122	22	394	364	109	124	63	18	35	119	119	897	15	19	24	2652	287	8	68	33	9	28	0	27	82	16	31	32	27	32	203	989	3	2	116	23	22	128	59	58	156	3	1	9	4	37	4	2	7	6	0	4	31	18	24	10	2	0	0	10	31	1	5	3	1	4	9	260	1	39	425	5	127	12	1253	40	50	675	365	3306	88	91	481	195	2	28	565	1422	396	132	64	391	1223	0	3	198	60	13	77	36	97	0	171	108	0	180	1210	965	440	909	2796	1093	27	927	31	218	845	554	1	31	855	129	612	61	1033	248	37	3	91	51	138	1316	7481	16	1956	1233	1054	335
CL.127	12303	16924	8563	3120	9304	5564	7269	2319	5668	1028	5398	5152	4871	7464	5002	6530	7225	1451	5261	2745	4167	3130	7204	3179	1320	1843	781	312	3352	1870	1969	1292	10715	2039	7388	292	2070	175	4938	506	2143	1377	2535	398	356	733	1053	1500	946	656	110	193	160	301	257	98	717	2935	1621	253	1219	34	166	1493	3556	1359	1248	1052	197	1149	54	638	124	125	177	34	1328	0	112	148	136	3827	199	144	698	1862	521	879	5803	174	1216	19	1629	43	967	860	10	68	171	299	566	1	107	38	448	241	585	40	24	51	278	117	33	1323	5	214	0	115	77	29	42	22	19	481	223	35	341	91	114	147	18	21	141	349	62	150	1	337	5	1602	10	9	6	3	11	865	102	127	41	28	1	0	3	0	25	1	8	7	9	0	1	478	22	42	114	1	194	1	128	69	482	247	1066	743	83	788	118	314	0	4	456	141	226	136	29	119	1276	1	0	276	13	8	185	49	368	2	5385	267	1	566	2818	1745	58	262	3484	190	315	951	628	626	302	306	4	156	612	205	361	30	922	171	28	55	80	466	187	1226	1237	89	1431	1027	1211	377
CL.128	26201	19946	16172	2686	13564	7809	7437	1450	5060	10323	5968	8055	8288	3992	2354	2699	6072	3728	220	2431	312	1888	536	4624	1518	1556	893	908	276	1753	753	1772	459	1148	375	80	5080	74	1323	160	655	1247	242	29	1121	77	360	939	1021	949	314	189	94	1818	68	73	1618	1446	488	298	1126	49	82	106	305	525	845	114	88	1079	374	391	625	505	64	17	278	13	266	115	116	8	631	129	786	28	170	654	147	74	137	12	65	53	1426	50	46	119	41	44	71	2	19	4	87	1013	32	43	15	464	135	30	59	31	4	8	5993	2	81	29	53	25	700	5	26	14	8	17	180	62	9	149	62	42	76	24	40	315	0	39	0	5	5	3	57	0	53	1	36	9	1	10	2	0	9	7	2	16	58	4	1	628	76	15	116	0	96	0	1520	19	70	360	668	3935	35	170	66	118	0	39	793	41	51	49	45	498	692	3	0	151	64	19	22	168	430	4	43	38	9	263	2085	1304	70	950	9407	154	19	1380	53	645	154	614	5	10	919	66	511	16	1080	529	38	0	33	92	218	4273	55	2	1961	1206	869	856
CL.130	14511	12612	2602	6057	1676	3180	3300	587	1026	4092	1248	221	746	18185	4872	1085	643	628	401	688	202	854	495	4136	1476	453	3498	108	261	234	1070	600	184	409	215	61	208	15	7079	81	375	152	330	3	83	92	141	994	128	1293	69	48	154	395	637	80	188	79	122	168	382	13	105	369	43	66	67	82	61	134	42	180	81	21	224	14	96	10	79	284	22	42	922	26	109	0	180	138	57	8	184	45	25	31	71	19	27	20	61	130	65	1	538	16	39	28	67	28	11	11	75	27	18	46	1	69	0	8	3	5	14	13	4	5	76	5	56	2	17	42	23	1	26	16	37	4	0	5	6	37	1	1	1	6	12	9	9	3	0	5	1	3	6	0	26	3	12	13	20	279	7	123	20	0	156	0	124	7	107	19	1227	465	185	156	4	45	46	78	0	2	236	37	27	0	9	67	406	0	0	50	16	2	56	13	34	12	135	18	3	55	1865	147	12	756	836	80	17	573	13	118	120	187	9	18	432	27	383	6	245	142	9	1	3	1763	73	505	104	2	872	708	526	273
CL.131	5063	3977	2225	1358	2931	2972	2844	2176	881	3678	1246	659	712	3740	470	1413	1612	517	468	925	1609	807	1668	2080	462	1004	347	73	393	189	318	568	358	403	1109	282	339	118	2349	95	625	267	274	280	100	5690	465	223	829	323	54	41	440	54	65	122	221	291	235	126	242	41	32	235	239	167	127	170	35	175	13	363	25	28	74	82	155	0	73	58	108	203	26	33	121	70	203	125	178	25	227	50	489	15	60	18	18	14	23	11	26	112	79	18	56	52	181	139	33	10	67	155	37	21	31	106	1	755	23	65	78	7	9	825	9	14	34	2	43	30	28	14	16	37	76	46	0	59	8	31	7	72	9	21	1	58	14	2417	13	9	3	0	0	28	3	0	1	1	1	1	7	50	0	2	29	7	57	4	53	14	146	97	253	3606	43	127	10	156	0	22	211	20	31	4	10	52	163	7	0	25	28	5	571	15	89	3	15	13	2	154	282	240	70	74	1538	28	49	539	50	268	26	156	3	55	716	32	223	3	461	96	8	2	1	192	101	556	68	83	742	376	335	327
CL.134	13451	15023	10115	12652	6215	6779	7864	6086	1721	4974	2926	1237	2644	1818	10298	5296	4670	3884	3246	6158	433	1612	2083	4047	1785	2362	1066	4627	430	768	1901	1663	637	883	1290	191	429	941	2418	199	1003	1659	1578	31	926	205	119	1088	1360	770	975	339	188	988	150	123	1195	2769	2309	1460	264	61	98	156	125	1186	702	327	283	1323	1039	2251	558	269	103	65	141	23	4515	642	95	337	492	182	182	1	245	1042	150	84	596	12	103	53	121	66	135	116	45	94	970	3	84	42	75	323	66	43	44	65	250	63	144	3	0	38	24	28	40	70	4	67	9	19	55	24	7	231	108	222	23	63	88	37	100	30	26	16	12	69	0	4	1	1	26	2	15	1	36	19	32	1	11	113	104	2	3	2	1	10	1	290	0	42	195	3	426	0	633	9	56	180	703	507	190	98	134	203	0	45	402	214	306	170	885	223	584	0	0	153	22	4	114	115	239	8	229	72	0	294	1927	1551	73	483	2056	535	20	1065	68	3253	541	428	6	20	1734	223	528	181	1193	291	32	10	125	59	1822	934	1163	1	1734	969	902	599
